steam_id,user_name,kills,headshots,wallbang_kills,assisted_flashes,trade_kills,no_scope,through_smoke,airbone_kills,blind_kills,victim_blind_kills,team_clan_name,awp_kills,pistol_kills,assists,deaths,trade_deaths,kd,k_d_diff,adr_total,adr_ct_side,adr_t_side,kast_total,kast_ct_side,kast_t_side,total_rounds_won,t_rounds_won,ct_rounds_won,first_kills,ct_first_kills,t_first_kills,first_deaths,ct_first_deaths,t_first_deaths,flahes_thrown,ct_flahes_thrown,t_flahes_thrown,flahes_thrown_in_pistol_round,he_thrown,ct_he_thrown,t_he_thrown,he_thrown_in_pistol_round,infernos_thrown,ct_infernos_thrown,t_infernos_thrown,infernos_thrown_in_pistol_round,smokes_thrown,ct_smokes_thrown,t_smokes_thrown,smokes_thrown_in_pistol_round,util_in_pistol_round,total_util_thrown,total_util_dmg,ct_total_util_dmg,t_total_util_dmg
76561197960690195,FalleN,61,24,1,5,19,0,3,0,2,5,FURIA,34,11,19,72,15,0.84722222222,-11,59.65686274510,66.14000000000,53.42307692308,0.69607843100,0.72000000000,0.67307692308,42,16,26,22,14,8,22,8,14,115,36,79,10,16,11,5,0,36,15,21,1,84,21,63,4,15,251,203,68,135
76561197961491680,tabseN,73,38,2,5,23,0,5,0,0,5,BIG,0,15,23,81,26,0.90123456790,-8,77.58333333333,77.22033898305,78.02040816000,0.70370370370,0.69491525424,0.71428571429,47,22,25,16,8,8,20,6,14,81,41,40,3,52,38,14,0,58,32,26,2,77,38,39,4,9,268,991,549,442
76561197967432889,MAJ3R,176,84,3,3,50,0,9,0,2,3,Eternal Fire,5,21,79,198,60,0.88888888889,-22,67.45573770492,64.77070063694,70.30405405405,0.74754098361,0.74522292994,0.75000000000,158,79,79,42,18,24,40,14,26,270,113,157,14,134,74,60,2,188,91,97,5,282,111,171,11,32,874,2152,857,1295
76561197973140692,mezii,188,108,10,13,48,0,20,0,6,13,Team Vitality,0,23,51,163,45,1.15337423313,25,70.48351648352,70.96875000000,70.05517241000,0.80586080586,0.83593750000,0.77931034483,165,71,94,32,18,14,48,14,34,180,78,102,2,103,56,47,0,160,73,87,0,199,78,121,4,6,642,1205,476,729
76561197977105184,jks,98,48,2,5,31,0,7,0,1,5,Team Liquid,0,17,37,93,23,1.05376344086,5,68.79605263158,73.11538461538,64.24324324324,0.78947368421,0.82051282051,0.75675675676,76,37,39,14,8,6,26,18,8,93,38,55,1,40,35,5,0,75,40,35,0,89,43,46,0,1,297,399,178,221
76561197978835160,flameZ,202,118,8,17,58,0,16,3,1,17,Team Vitality,0,30,79,193,61,1.04663212435,9,85.39194139194,88.83593750000,82.35172413793,0.75824175824,0.75000000000,0.76551724138,165,71,94,92,46,46,66,20,46,175,73,102,2,115,68,47,1,172,85,87,2,160,89,71,3,8,622,1370,677,693
76561197982141573,Snax,103,48,2,7,33,0,14,0,1,7,G2 Esports,4,17,46,129,34,0.79844961240,-26,63.45549738220,67.36458333333,59.50526315789,0.70157068063,0.76041666667,0.64210526316,90,49,41,32,14,18,38,12,26,134,47,87,3,75,52,23,0,118,59,59,1,131,61,70,5,9,458,999,554,445
76561197983956651,Magisk,66,39,1,4,27,0,3,0,3,4,Team Falcons,0,21,26,76,15,0.86842105300,-10,70.28846153846,81.59615384615,58.98076923077,0.72115384615,0.76923076923,0.67307692308,45,20,25,16,10,6,18,8,10,48,18,30,3,43,29,14,1,46,21,25,1,73,37,36,2,7,210,712,616,96
76561197987713664,dev1ce,94,35,2,4,24,0,9,0,2,4,Astralis,20,20,30,98,21,0.95918367347,-4,75.25174825175,79.33783783784,70.86956522000,0.69230769231,0.71621621622,0.66666666667,57,24,33,28,20,8,18,8,10,82,20,62,6,48,35,13,0,60,28,32,2,84,35,49,2,10,274,1043,727,316
76561197989430253,karrigan,159,72,5,8,51,0,14,0,4,8,FaZe Clan,0,22,56,196,61,0.81122448980,-37,61.73913043478,68.80985915493,54.24626865672,0.71376811594,0.74647887324,0.67910447761,132,67,65,38,22,16,72,30,42,228,79,149,7,103,73,30,1,192,105,87,6,208,95,113,5,19,731,1240,603,637
