round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site,CT_team_clan_name,T_team_clan_name,winner_clan_name,CT_team_current_equip_value,T_team_current_equip_value,ct_losing_streak,t_losing_streak,CT_buy_type,T_buy_type,5v4_advantage,demo_file_name
1,1,1267,5426,5746,ct,t_killed,,not_planted,3DMAX,BIG,3DMAX,4400,"4,250",0,0,Pistol,Pistol,t,3dmax-vs-big-m1-ancient.dem
2,5746,13030,17750,18070,ct,bomb_defused,15871,bombsite_b,3DMAX,BIG,3DMAX,21000,"1,800",0,2,Full Buy,Full Eco,ct,3dmax-vs-big-m1-ancient.dem
3,18070,19350,26576,26896,t,bomb_exploded,23952,bombsite_b,3DMAX,BIG,BIG,23050,"24,950",0,3,Full Buy,Full Buy,t,3dmax-vs-big-m1-ancient.dem
4,26896,28176,35451,35771,ct,bomb_defused,34260,bombsite_b,3DMAX,BIG,3DMAX,17900,"27,850",1,1,Semi-Buy,Full Buy,t,3dmax-vs-big-m1-ancient.dem
5,35771,37051,44609,44929,t,ct_killed,43540,bombsite_b,3DMAX,BIG,BIG,27800,"23,000",0,2,Full Buy,Full Buy,ct,3dmax-vs-big-m1-ancient.dem
6,44929,49008,54032,54352,t,ct_killed,52890,bombsite_b,3DMAX,BIG,BIG,2700,"25,200",1,0,Full Eco,Full Buy,t,3dmax-vs-big-m1-ancient.dem
7,54352,61416,66657,66977,t,ct_killed,,not_planted,3DMAX,BIG,BIG,2300,"28,050",2,0,Full Eco,Full Buy,t,3dmax-vs-big-m1-ancient.dem
8,66977,68257,74583,74903,ct,t_killed,,not_planted,3DMAX,BIG,3DMAX,26100,"28,250",3,0,Full Buy,Full Buy,ct,3dmax-vs-big-m1-ancient.dem
9,74903,76183,83405,83725,t,ct_killed,83248,bombsite_b,3DMAX,BIG,BIG,29050,"26,600",1,1,Full Buy,Full Buy,t,3dmax-vs-big-m1-ancient.dem
10,83725,87278,94037,94357,t,ct_killed,92546,bombsite_b,3DMAX,BIG,BIG,5350,"27,250",2,0,Semi-Eco,Full Buy,ct,3dmax-vs-big-m1-ancient.dem
11,94357,95637,99202,99522,ct,t_killed,,not_planted,3DMAX,BIG,3DMAX,25550,"27,250",3,0,Full Buy,Full Buy,t,3dmax-vs-big-m1-ancient.dem
12,99522,100802,103478,104022,ct,t_killed,,not_planted,3DMAX,BIG,3DMAX,29850,"12,650",1,1,Full Buy,Semi-Buy,ct,3dmax-vs-big-m1-ancient.dem
13,104022,119533,126231,126551,ct,t_killed,,not_planted,BIG,3DMAX,BIG,4200,"5,050",1,1,Pistol,Pistol,t,3dmax-vs-big-m1-ancient.dem
14,126551,127831,133317,133637,ct,bomb_defused,131466,bombsite_b,BIG,3DMAX,BIG,19750,"4,300",0,2,Semi-Buy,Full Eco,t,3dmax-vs-big-m1-ancient.dem
15,133637,134917,142277,142597,ct,time_ran_out,,not_planted,BIG,3DMAX,BIG,25150,"23,500",0,3,Full Buy,Full Buy,ct,3dmax-vs-big-m1-ancient.dem
16,142597,143877,147511,147831,t,ct_killed,145524,bombsite_b,BIG,3DMAX,3DMAX,22600,"10,950",0,4,Full Buy,Semi-Buy,ct,3dmax-vs-big-m1-ancient.dem
17,147831,149111,152375,152695,t,ct_killed,,not_planted,BIG,3DMAX,3DMAX,1000,"26,000",1,2,Full Eco,Full Buy,t,3dmax-vs-big-m1-ancient.dem
18,152695,153975,159280,159600,t,bomb_exploded,156656,bombsite_b,BIG,3DMAX,3DMAX,23200,"25,200",2,1,Full Buy,Full Buy,ct,3dmax-vs-big-m1-ancient.dem
19,159600,163340,170117,170437,t,bomb_exploded,167493,bombsite_b,BIG,3DMAX,3DMAX,17800,"25,200",3,0,Semi-Buy,Full Buy,ct,3dmax-vs-big-m1-ancient.dem
20,170437,171717,179638,179958,t,ct_killed,178370,bombsite_b,BIG,3DMAX,3DMAX,28700,"25,900",4,0,Full Buy,Full Buy,ct,3dmax-vs-big-m1-ancient.dem
21,179958,183920,191253,191573,ct,bomb_defused,189619,bombsite_b,BIG,3DMAX,BIG,23450,"24,250",5,0,Full Buy,Full Buy,ct,3dmax-vs-big-m1-ancient.dem
22,191573,192853,199066,199386,ct,bomb_defused,196999,bombsite_b,BIG,3DMAX,BIG,27250,"23,650",3,1,Full Buy,Full Buy,t,3dmax-vs-big-m1-ancient.dem
23,199386,203166,208556,208876,t,bomb_exploded,205932,bombsite_b,BIG,3DMAX,3DMAX,28750,"24,300",2,2,Full Buy,Full Buy,t,3dmax-vs-big-m1-ancient.dem
24,208876,210156,217504,217504,t,ct_killed,215770,bombsite_b,BIG,3DMAX,3DMAX,20650,"28,150",3,0,Full Buy,Full Buy,t,3dmax-vs-big-m1-ancient.dem
1,1,1265,5482,5802,t,ct_killed,2952,bombsite_b,BIG,3DMAX,3DMAX,4150,"4,300",0,0,Pistol,Pistol,t,3dmax-vs-big-m2-inferno.dem
2,5802,7082,14442,14762,ct,time_ran_out,,not_planted,BIG,3DMAX,BIG,10550,"19,550",2,0,Semi-Buy,Semi-Buy,ct,3dmax-vs-big-m2-inferno.dem
3,14762,16042,21557,21877,t,ct_killed,19796,bombsite_b,BIG,3DMAX,3DMAX,21150,"12,250",0,1,Full Buy,Semi-Buy,t,3dmax-vs-big-m2-inferno.dem
4,21877,23157,31496,31816,t,bomb_exploded,28872,bombsite_b,BIG,3DMAX,3DMAX,11200,"21,100",1,0,Semi-Buy,Full Buy,t,3dmax-vs-big-m2-inferno.dem
5,31816,33096,40223,40543,t,bomb_exploded,37599,bombsite_b,BIG,3DMAX,3DMAX,1000,"21,800",2,0,Full Eco,Full Buy,ct,3dmax-vs-big-m2-inferno.dem
6,40543,41823,49183,49503,ct,time_ran_out,,not_planted,BIG,3DMAX,BIG,24450,"27,650",3,0,Full Buy,Full Buy,t,3dmax-vs-big-m2-inferno.dem
7,49503,50783,59764,60084,t,bomb_exploded,57140,bombsite_b,BIG,3DMAX,3DMAX,27000,"26,650",1,1,Full Buy,Full Buy,t,3dmax-vs-big-m2-inferno.dem
8,60084,61364,65234,65554,t,ct_killed,64324,bombsite_b,BIG,3DMAX,3DMAX,26350,"27,650",2,0,Full Buy,Full Buy,ct,3dmax-vs-big-m2-inferno.dem
9,65554,66834,73081,73401,t,ct_killed,70914,bombsite_b,BIG,3DMAX,3DMAX,11600,"26,550",3,0,Semi-Buy,Full Buy,t,3dmax-vs-big-m2-inferno.dem
10,73401,76821,82780,83100,t,ct_killed,80995,bombsite_b,BIG,3DMAX,3DMAX,26400,"27,550",4,0,Full Buy,Full Buy,ct,3dmax-vs-big-m2-inferno.dem
11,83100,84380,91810,92130,ct,bomb_defused,90101,bombsite_b,BIG,3DMAX,BIG,9500,"27,750",5,0,Semi-Eco,Full Buy,t,3dmax-vs-big-m2-inferno.dem
12,92130,95599,100601,101145,t,ct_killed,,not_planted,BIG,3DMAX,3DMAX,29950,"29,050",3,1,Full Buy,Full Buy,ct,3dmax-vs-big-m2-inferno.dem
13,101145,115169,120445,120765,ct,t_killed,,not_planted,3DMAX,BIG,3DMAX,4500,"4,400",1,1,Pistol,Pistol,t,3dmax-vs-big-m2-inferno.dem
14,120765,122045,125085,125405,ct,t_killed,,not_planted,3DMAX,BIG,3DMAX,16100,"10,450",0,2,Semi-Buy,Semi-Buy,t,3dmax-vs-big-m2-inferno.dem
