steam_id,user_name,kills,headshots,wallbang_kills,assisted_flashes,trade_kills,no_scope,through_smoke,airbone_kills,blind_kills,victim_blind_kills,team_clan_name,awp_kills,pistol_kills,assists,deaths,trade_deaths,kd,k_d_diff,adr_total,adr_ct_side,adr_t_side,kast_total,kast_ct_side,kast_t_side,total_rounds_won,t_rounds_won,ct_rounds_won,first_kills,ct_first_kills,t_first_kills,first_deaths,ct_first_deaths,t_first_deaths,flahes_thrown,ct_flahes_thrown,t_flahes_thrown,flahes_thrown_in_pistol_round,he_thrown,ct_he_thrown,t_he_thrown,he_thrown_in_pistol_round,infernos_thrown,ct_infernos_thrown,t_infernos_thrown,infernos_thrown_in_pistol_round,smokes_thrown,ct_smokes_thrown,t_smokes_thrown,smokes_thrown_in_pistol_round,util_in_pistol_round,total_util_thrown,total_util_dmg,ct_total_util_dmg,t_total_util_dmg
76561197960690195,FalleN,134,52,6,5,31,0,11,0,0,5,FURIA,48,24,42,161,32,0.83229813665,-27,61.45614035088,60.28000000000,62.37500000000,0.68421052632,0.69000000000,0.67968800000,103,46,57,46,26,20,54,16,38,264,85,179,13,29,20,9,0,99,36,63,3,175,51,124,9,25,567,660,129,531
76561197967432889,MAJ3R,174,88,4,8,53,0,14,1,3,8,Aurora,4,21,72,216,54,0.80555555556,-42,66.40894568690,71.55688622754,60.52054794521,0.69648562300,0.73053892216,0.65753424658,168,88,80,60,40,20,60,42,18,262,88,174,15,104,68,36,2,168,88,80,2,274,113,161,9,28,808,1990,1128,862
76561197976393269,kaze,95,44,3,3,26,2,8,0,0,3,RARE ATOM,21,10,29,97,19,0.97938100000,-2,69.33333333333,79.83333333333,57.46376811594,0.68707482993,0.65384615385,0.72463768116,59,26,33,18,14,4,20,12,8,145,61,84,8,33,25,8,0,60,24,36,2,123,52,71,8,18,361,208,103,105
76561197982141573,Snax,177,95,4,12,41,0,17,0,0,12,G2 Esports,5,26,66,193,44,0.91709800000,-16,66.37540453074,64.48026315789,68.21019108280,0.74433656958,0.74342100000,0.74522292994,166,69,97,58,28,30,68,30,38,268,79,189,17,153,95,58,1,215,100,115,1,262,117,145,17,36,898,1844,866,978
76561197983956651,Magisk,281,164,9,10,80,0,18,0,6,10,Team Falcons,1,32,106,307,74,0.91530944625,-26,69.19087136929,70.42911877395,67.72850678733,0.75933609959,0.75095785441,0.76923076923,254,129,125,80,44,36,94,54,40,239,81,158,7,235,132,103,8,280,131,149,4,330,183,147,12,31,1084,2509,1453,1056
76561197987713664,device,191,60,7,10,45,1,24,2,2,10,Astralis,86,27,52,180,40,1.06111111111,11,73.69686411150,80.05925925926,68.04605263158,0.71080100000,0.74814814815,0.67763157895,138,62,76,60,44,16,58,28,30,257,72,185,7,72,49,23,0,129,49,80,2,204,65,139,11,20,662,1184,602,582
76561197989430253,karrigan,223,132,7,14,57,0,14,0,3,14,FaZe Clan,1,45,94,257,66,0.86770400000,-34,68.00789000000,65.86813186813,69.97474747475,0.73947368421,0.74175824176,0.73737373737,205,88,117,68,22,46,100,32,68,312,112,200,24,151,73,78,1,227,104,123,4,292,116,176,14,43,982,1899,862,1037
76561197995817501,FL1T,165,86,6,12,46,0,18,0,3,12,Virtus.pro,6,24,54,158,39,1.04430379747,7,76.09375000000,81.36153846154,70.65873015873,0.74218800000,0.75384615385,0.73015873016,126,55,71,60,38,22,42,24,18,141,49,92,0,128,85,43,0,146,60,86,0,151,73,78,3,3,566,1514,789,725
76561197996678278,TeSeS,337,196,5,14,71,0,25,0,0,14,Team Falcons,1,69,101,316,99,1.06645569620,21,76.71074000000,82.32183908046,70.14349775785,0.73553719008,0.72796934866,0.74439461883,254,129,125,94,42,52,102,46,56,235,93,142,9,134,127,7,1,222,110,112,2,336,186,150,5,17,927,1820,1379,441
76561197997351207,rain,229,135,6,15,56,0,20,1,1,15,FaZe Clan,1,46,77,256,74,0.89453100000,-27,70.80526315789,75.26373626374,66.70707070707,0.70526315789,0.75824175824,0.65656565657,205,88,117,74,36,38,70,30,40,159,79,80,4,213,122,91,3,237,111,126,2,252,130,122,3,12,861,1923,1167,756
76561198001151695,NAF-FLY,55,28,1,4,20,0,5,0,2,4,Team Liquid,4,11,21,90,13,0.61111111111,-35,55.80000000000,50.70666666667,62.74545454545,0.66153846154,0.60000000000,0.74545454545,49,25,24,10,4,6,10,10,0,60,27,33,2,55,34,21,0,66,36,30,2,89,50,39,1,5,270,512,233,279
76561198004115516,cadiaN,149,70,6,4,32,0,16,1,2,4,Astralis,15,24,62,197,45,0.75634517766,-48,66.49128919861,64.35555555556,68.38815789474,0.68641100000,0.72592600000,0.65131578947,138,62,76,42,16,26,64,26,38,274,99,175,11,163,80,83,0,166,64,102,2,242,92,150,6,19,845,1675,877,798
76561198005107817,Staehr,193,103,6,21,53,1,22,0,0,21,Astralis,1,35,66,190,53,1.01578947368,3,76.39024390244,68.13333333333,83.72368421053,0.75958200000,0.77037037037,0.75000000000,138,62,76,62,16,46,50,12,38,172,59,113,4,142,72,70,2,160,66,94,2,195,99,96,6,14,669,1826,785,1041
76561198012872053,huNter,197,125,4,14,43,0,18,1,2,14,G2 Esports,2,40,60,184,54,1.07065217391,13,69.05825242718,70.63157894737,67.53503184713,0.77022653722,0.78289473684,0.75796178344,166,69,97,58,36,22,48,32,16,252,91,161,5,128,74,54,1,168,71,97,4,197,87,110,4,14,745,1866,773,1093
76561198013230247,Summer,90,49,0,1,29,0,4,0,0,1,RARE ATOM,2,15,27,112,23,0.80357142857,-22,72.31292517007,59.32051282051,87.00000000000,0.66666666667,0.60256410256,0.73913043478,59,26,33,28,10,18,28,14,14,123,46,77,12,77,44,33,2,79,37,42,1,116,50,66,4,19,395,951,464,487
76561198013295375,bodyy,194,112,2,14,66,0,19,0,2,14,3DMAX,0,26,73,220,69,0.88181818182,-26,73.89000000000,68.21935483871,79.95172413793,0.77333333333,0.79354838710,0.75172413793,146,68,78,76,44,32,60,26,34,231,103,128,3,165,88,77,1,142,71,71,0,186,97,89,4,8,724,1625,810,815
76561198014259134,FL4MUS,138,85,2,8,46,0,19,0,3,8,Virtus.pro,0,21,49,171,53,0.80701754386,-33,64.38281000000,67.93076923077,60.72222222222,0.73046900000,0.71538461538,0.74603200000,126,55,71,42,26,16,48,24,24,147,72,75,0,61,44,17,0,155,80,75,0,151,84,67,2,2,514,906,703,203
76561198015308884,biguzera,164,85,3,11,50,0,19,0,0,11,paiN Gaming,6,25,56,184,41,0.89130434783,-20,75.33725490196,88.10833333333,63.98518518519,0.69019607843,0.74166666667,0.64444444444,119,50,69,56,26,30,70,34,36,214,95,119,12,133,78,55,4,152,63,89,6,229,81,148,6,28,728,2033,1273,760
