,Basic Consistency,
,,
,IGL,Weighting
,,
,Flash Assists,0.2
,Smokes thrown,0.2
,Rounds won after time out,0.1
,Pistol rounds won,0.1
,T Rounds won,0.3
,KAST,0.1
,,
,AWP,Weighting
,,
,KAST,0.3
,Opening duels,0.2
,ADR,0.2
,trade %,0.1
,Clutch rounds won,0.1
,Flash Assists,0.1
,,
,(T) Support,Weighting
,,
,KAST,0.5
,Trade %,0.2
,Flash Assists,0.1
,Clutch rounds won,0.1
,Smokes thrown,0.1
,,
,(T) Spacetaker,Weighting
,,
,Opening duels,0.3
,Multi-kill rounds,0.2
,Traded %,0.1
,Kills,0.1
,ADR,0.2
,KAST,0.1
,,
,(T) lurker,Weighting
,,
,Kills,0.3
,opening duels,0.2
,Clutch rounds won,0.2
,ADR,0.1
,KAST,0.2
,,
,(CT) anchor,Weighting
,,
,Multi-kill rounds,0.3
,Utility damage (grenades & molotovs),0.2
,Clutch rounds won,0.2
,KAST,0.3
,,
,(CT) rotator,Weighting
,,
,Flash Assists,0.2
,Trade %,0.2
,Smokes thrown,0.1
,ADR,0.2
,KAST,0.3
