,Team,Previous team,Player,In-Game Leader?,T Role,CT Role
,Virtus.pro,,FL1T,,Lurker,Rotator
,Virtus.pro,,mir,,Spacetaker,Anchor
,Virtus.pro,,FL4MUS,,Spacetaker,Anchor
,Virtus.pro,,electronic,Yes,Spacetaker,Rotator
,Virtus.pro,,fame,,Lurker,Anchor
,Virtus.pro,,ICY,,AWP,AWP
,The MongolZ,,Mzinho,,Support,Anchor
,The MongolZ,,Senzu,,Lurker,Rotator
,The MongolZ,,bLitz,Yes,Spacetaker,Rotator
,The MongolZ,,Techno4K,,Spacetaker,Anchor
,The MongolZ,,910-,,AWP,AWP
,Team Vitality,,mezii,,Spacetaker,Anchor
,Team Vitality,,flameZ,,Spacetaker,Rotator
,Team Vitality,,apEX,Yes,Support,Rotator
,Team Vitality,,ropz,,Lurker,Anchor
,Team Vitality,,ZywOo,,AWP,AWP
,Team Spirit,,sh1ro (SH1R0),,AWP,AWP
,Team Spirit,,donk,,Spacetaker,Rotator
,Team Spirit,,zont1x,,Support,Anchor
,Team Spirit,,magixx,,Support,Anchor
,Team Spirit,,Chopper,Yes,Spacetaker,Rotator
,Team Liquid,,jks,,Support,Anchor
,Team Liquid,,NAF,,Lurker,Anchor
,Team Liquid,,Twistzz,,Lurker,Rotator
,Team Liquid,,NertZ,,Spacetaker,Anchor
,Team Liquid,,ultimate,,AWP,AWP
,Team Liquid,,Siuhy,Yes,Support,Anchor
,Team Falcons,,Magisk,,Support,Anchor
,Team Falcons,,TeSeS,,Spacetaker,Anchor
,Team Falcons,,NiKo,,Spacetaker,Rotator
,Team Falcons,,degster,,AWP,AWP
,Team Falcons,,kyxsan,,Support,Rotator
,Team Falcons,G2 Esports,m0NESY,,AWP,AWP
,Natus Vincere,,Aleksib,Yes,Support,Rotator
,Natus Vincere,,iM,,Spacetaker,Rotator
,Natus Vincere,,jL,,Spacetaker,Anchor
,Natus Vincere,,b1t,,Lurker,Anchor
,Natus Vincere,,w0nderful,,AWP,AWP
,MOUZ,,xertioN,,Spacetaker,Rotator
,MOUZ,,torzsi,,AWP,AWP
,MOUZ,,Brollan,Yes,Lurker,Rotator
,MOUZ NXT,,xelex,,Support,Anchor
,MOUZ,,jimpphat,,Support,Anchor
,MOUZ,,Spinx,,Lurker,Anchor
,GamerLegion,,REZ,,Spacetaker,Rotator
,GamerLegion,,PR,,Lurker,Rotator
,GamerLegion,,Tauson,,Spacetaker,Anchor
,GamerLegion,,sl3nd,,AWP,AWP
,GamerLegion,,ztr,,Support,Anchor
,G2 Esports,,Snax,Yes,Support,Anchor
,G2 Esports,,huNter-,,Lurker,Rotator
,G2 Esports,,HeavyGoD,,Spacetaker,Anchor
,G2 Esports,,malbsMd,,Spacetaker,Rotator
,G2 Esports,,hades,,AWP,AWP
,FURIA,,FalleN,Yes,Support,Anchor
,No Team,,chelo,,Support,Anchor
,No Team,,Skullz,,Support,Anchor
,FURIA,,yuurih,,Spacetaker,Anchor
,FURIA,,KSCERATO,,Lurker,Rotator
,FURIA,,molodoy,,AWP,AWP
,FURIA,,YEKINDAR,,Spacetaker,Rotator
,FaZe Clan,,karrigan,Yes,Spacetaker,Anchor
,FaZe Clan,,rain,,Spacetaker,Anchor
,FaZe Clan,,EliGE,,Spacetaker,Rotator
,FaZe Clan,,broky,,AWP,AWP
,FaZe Clan,,frozen,,Lurker,Rotator
,Aurora,Eternal Fire,MAJ3R,Yes,Support,Anchor
,Aurora,Eternal Fire,XANTARES,,Spacetaker,Rotator
,Aurora,Eternal Fire,woxic,,AWP,AWP
,Aurora,Eternal Fire,jottAAA,,Spacetaker,Anchor
,Aurora,Eternal Fire,Wicadia,,Lurker,Rotator
,BIG,,tabseN,Yes,Spacetaker,Rotator
,BIG,,JDC,,Spacetaker,Anchor
,BIG,,Krimbo,,Spacetaker,Anchor
,BIG,,hyped,,AWP,AWP
,BIG,,kyuubii,,Support,Rotator
,Astralis,,dev1ce,,AWP,AWP
,No Team,,cadiaN,Yes,Support,Anchor
,Astralis,,Hooxi,Yes,Support,Anchor
,Astralis,,Staehr,,Spacetaker,Anchor
,Astralis,,stavn,,Lurker,Rotator
,Astralis,,jabbi,,Spacetaker,Rotator
,3DMAX,,Lucky,,Spacetaker,Anchor
,3DMAX,,bodyy,,Lurker,Rotator
,No Team,,Djoko,,Spacetaker,Rotator
,3DMAX,,Ex3rcice,,Spacetaker,Anchor
,3DMAX,,Graviti,,Lurker,Rotator
,3DMAX,,Maka,Yes,AWP,AWP
,paiN,,nqz,,AWP,AWP
,paiN,,dav1deu$,,Spacetaker,Rotator
,paiN,,dgt,,Lurker,Rotator
,paiN,,biguzera,Yes,Spacetaker,Anchor
,paiN,,snow,,Support,Anchor
,Legacy,,dumau,,Spacetaker,Rotator
,Legacy,,latto,,Lurker,Rotator
,Legacy,,n1ssim,,Spacetaker,Anchor
,Legacy,,lux,Yes,Support,Anchor
,Legacy,,saadzin,,AWP,AWP
,Complexity,,hallzerk,,AWP,AWP
,Complexity,,cxzi,,Lurker,Rotator
,Complexity,,Grim,,Spacetaker,Anchor
,Complexity,,nicx,,Lurker,Anchor
,Complexity,,JT,Yes,Support,Rotator
,Betclic,,jcobbb,,Unassigned,Unassigned
,Betclic,,Demho,,Unassigned,Unassigned
,Betclic,,Prism,,Unassigned,Unassigned
,Betclic,,hfah,,Unassigned,Unassigned
,Betclic,,hypex,,Unassigned,Unassigned
