,,,,,we can do it now,Needs work,Lots of work
,General IGL,,,,,,
,Metric,Importance,Calculation,Notes,,,
,Tactical Timeout Success (TTSR),Evaluates whether rounds after timeouts result in improved performance.,Rounds won after timeout / Total rounds after timeout,,Requires individual analysis,,
,Momentum Shift Impact (MSI),"Measures the IGL’s effectiveness in shifting momentum (e.g., stopping an opponent’s streak or building one for their team).",Rounds won after losing streaks / Total losing streak scenarios,,Losing streak = 3+ rounds. Requires individual analysis,,
,Kill Participation Index (KPI),"Tracks how often the IGL is involved in key engagements, either via direct kills or assists, to gauge leadership in combat scenarios.",(Kills + Assists) / Total rounds played,Implementable,Basically KAST,,
,Map Control Influence (MCI),Quantifies how effectively the IGL helps the team secure and hold key areas of the map before engagements occur.,Time spent in contested zones before site executes,,,,
,Strategic Depth Score (SDS),"Evaluates the IGL’s overall strategic versatility across multiple maps, reflecting ability to adjust to varying map conditions.",Unique map-specific strategies / Total maps played,,,,
,Teammate Performance Uplift (TPU),"Measures how much teammates improve (K/D ratio, rating) under this IGL, indicating their leadership and motivational impact.",Teammate K/D or rating increase under IGL / Baseline teammate performance,,Requires more than 1 event. Changes the way we see data right now,,
,Team Economy Preservation (TEP),Tracks how well an IGL manages economic losses over multiple rounds.,Eco-friendly rounds won / Total eco rounds,,Requires individual analysis,,
,Round Win Impact (RWI),Measures how much an IGL’s decisions directly contribute to winning rounds.,Rounds won influenced by IGL calls / Total rounds,,"* changes in utility usage, player positions, and setup adjustments to identify impactful IGL calls, aiming to link these to round wins by examining deviations from standard patterns.",,
,,,,,,,
,T side IGL,,,,,,
,Metric,Importance,Calculation,,,,
,Clutch Opportunity Creation (COC),Evaluates how often an IGL’s strategy leads to winnable late-round situations.,Clutch situations created per half,,,,
,Playstyle Variability Index (PVI),Measures how diverse the IGL’s playbook is by tracking repeated versus varied strategies.,Unique set plays used / Total rounds played,,Requires 2D analysis,,
,Opening Play Success Rate (OPSR),Measures the success of initial strategies in gaining map control and securing site access.,Successful executes / Total executes,,Mid term = successful bomb plant conversion (with 3 alive),,
,Mid-Round Call Success (MRCS),Quantifies the success rate of mid-round adjustments to the initial strat based on opponent reactions.,Successful mid-round changes leading to round wins / Total mid-round changes,,,,
,Strategy Adaptability Score (SAS),Measures how often the IGL successfully shifts tactics based on enemy playstyle shifts.,Number of successful tactical shifts / Total shifts,,,,
,Fake Engagement Efficiency (FEE),Evaluates how well the IGL calls fakes to force enemy rotations and misplays.,Rounds where fake plays led to rotations / Total rounds where fakes were called,,,,
,Delayed Execution Success (DES),Tracks the IGL's ability to call late-round executes that disrupt defenses.,Rounds won with <20 sec executes / Total delayed executes,,Requires individual analysis - requires timing of bomb plants.,,
,Economy Optimization Index (EOI),Tracks how efficiently the IGL manages buys and eco rounds to maximize long-term team economy.,Rounds won per $ spent vs. league average (we could invent an avg),,Requires individual analysis,,
,,,,,,,
,CT side IGL,,,,,,
,Metric,Importance,Calculation,,,,
,Site Hold Efficiency (SHE),Measures the success rate of defensive setups in preventing site takes.,Rounds where a bomb plant was denied / Total rounds,,,,
,Rotation Efficiency Index (REI),Quantifies how well an IGL calls rotations based on early information.,Correct rotations called / Total rotation calls,,Potentially requires 2d / AI,,
,Utility Setup Optimization (USO),Tracks how well utility is used to deny entries and control enemy movement.,Effective utility damage & flash assists / Total utility deployed,,,,
,Adaptive Defense Score (ADS),Measures the IGL’s ability to switch setups dynamically mid-round based on enemy reads.,Successful defensive setup changes / Total changes,,Potentially requires 2d / AI,,
,Anchor Support Effectiveness (ASE),Evaluates how often site anchors receive effective backup when under attack.,Rounds where anchors were reinforced successfully / Total site attacks,,Requires individual analysis,,
,Mid-Round Recovery Index (MRI),Measures how well the IGL adapts after losing the first pick or site control.,Rounds recovered after losing opening pick / Total rounds where opening pick was lost,,4v5 conversion,,
,Opponent Conditioning Index (OCI),Tracks how well the IGL forces predictable enemy behaviors over multiple rounds.,Rounds where enemy responded predictably / Total tracked rounds,,Potentially requires 2d / AI,,
,Save Call Efficiency (SCE),Evaluates whether an IGL’s save calls maximize future economy and win potential.,Rounds saved leading to next-round win %,,"Save round, then next round win. Requires individual round analysis",,
,,,,,,,
, T side AWP,,,,,,
,Metric,Explanation,Calculation,,,,
,1. Opening Pick Success Rate (OPSR),"Measures how effectively the AWPer secures the first kill on T-side, often creating a 5v4 advantage and forcing opponents into reactive play.",OPSR = (Successful first picks) / (First-pick attempts),Entry kills,"different levels. 
1. Opening duels won
2. First shots vs kill conversion
3. First shots vs deaths.",High weighting,
,2. Offensive Angle Clearing (OAC),"Tracks the AWPer’s success in removing defenders from contested angles or choke points, enabling safe passage for teammates.",OAC = (Kills at contested angles) / (Total attempts to peek those angles),,,,
,3. Post-Plant Defense Index (PDI),"Evaluates how well the AWPer defends the site once the bomb is planted, preventing retakes.",PDI = (Post-plant AWP kills + Surviving post-plant) / (Total post-plant scenarios),,KAST after bomb plant per round.,,
,4. Economy Efficiency Ratio (EER),"Assesses how cost-effective the AWPer’s performance is, balancing the high price of the AWP against the kills, damage, or round wins generated.",EER = (Total damage + kills) / (Money spent on AWP + utility),,You'll need to show money in data set on individual items / wapons. ,,
,5. Flash-Assist Synergy (FAS),"Measures how frequently the AWPer capitalises on teammate utility (especially flashes) to secure kills, indicating strong offensive coordination.",FAS = (Flash-assisted AWP kills) / (Total AWP kills on T-side),,amount of players killed by awp that were flashed. ,,
,6. Multi-Kill Conversion (MKC),"Captures the AWPer’s ability to turn an initial frag into multiple kills during a single round, translating a small edge into a decisive advantage.",MKC = (Rounds with ≥2 AWP kills) / (Rounds with ≥1 AWP kill),,,,
,7. Aggressive Re-Peek Rate (ARR) ,"Evaluates how often and successfully the AWPer re-peeks after firing an initial shot, reflecting a more forward, risk-taking style often seen in basketball’s fast-break transitions.",ARR = (Successful re-peeks leading to a kill) / (Total re-peek attempts,,2+ shots at same area leading to kill?,,
,,,,,,,
,CT side AWP,,,,,,
,Metric,Explanation,Calculation,,,,
,1. Site Lockdown Rate (SLR),"Measures how effectively the AWPer denies site control, preventing or delaying T-side executes (analogous to a goalie saving shots in hockey).",SLR = (Number of rounds AWPer holds a site without a successful T take) / (Total CT rounds),,"Allocated where {AWP role} is. 
~did T's come to that site?
~did they plant Y/N? if no, then positive score.",,
