column,dtype
steam_id,float64
user_name,object
kills,float64
headshots,float64
wallbang_kills,float64
assisted_flashes,float64
trade_kills,float64
no_scope,float64
through_smoke,float64
airbone_kills,float64
blind_kills,float64
victim_blind_kills,float64
team_clan_name,object
awp_kills,float64
pistol_kills,float64
assists,float64
deaths,float64
trade_deaths,float64
kd,float64
k_d_diff,float64
adr_total,float64
adr_ct_side,float64
adr_t_side,float64
kast_total,float64
kast_ct_side,float64
kast_t_side,float64
total_rounds_won,float64
t_rounds_won,float64
ct_rounds_won,float64
first_kills,float64
ct_first_kills,float64
t_first_kills,float64
first_deaths,float64
ct_first_deaths,float64
t_first_deaths,float64
flahes_thrown,float64
ct_flahes_thrown,float64
t_flahes_thrown,float64
flahes_thrown_in_pistol_round,float64
he_thrown,float64
ct_he_thrown,float64
t_he_thrown,float64
he_thrown_in_pistol_round,float64
infernos_thrown,float64
ct_infernos_thrown,float64
t_infernos_thrown,float64
infernos_thrown_in_pistol_round,float64
smokes_thrown,float64
ct_smokes_thrown,float64
t_smokes_thrown,float64
smokes_thrown_in_pistol_round,float64
util_in_pistol_round,float64
total_util_thrown,float64
total_util_dmg,float64
ct_total_util_dmg,float64
t_total_util_dmg,float64
source_file,object
event,object
round_num,float64
start,float64
freeze_end,float64
end,float64
official_end,float64
winner,object
reason,object
bomb_plant,float64
bomb_site,object
ct_team_clan_name,object
t_team_clan_name,object
winner_clan_name,object
ct_team_current_equip_value,float64
t_team_current_equip_value,object
ct_losing_streak,float64
t_losing_streak,float64
ct_buy_type,object
t_buy_type,object
5v4_advantage,object
demo_file_name,object
advantage_5v4,object
file_id,object
event_id,float64
match_name,object
